Time	I_src_A	I_src_B	I_src_C
4.0399  	17.2339	0.351648	-0.415152
4.03995  	17.1402	0.357571	-0.409656
4.04  	17.0422	0.363368	-0.404096
4.04005  	16.9399	0.369114	-0.398398
4.0401  	16.8334	0.374745	-0.392626
4.04015  	16.7227	0.380284	-0.386756
4.0402  	16.6078	0.385752	-0.380768
4.04025  	16.4888	0.391088	-0.374724
4.0403  	16.3656	0.396364	-0.36855
4.04035  	16.2384	0.40152	-0.362307
4.0404  	16.1071	0.406576	-0.355975
4.04045  	15.9718	0.411556	-0.349533
4.0405  	15.8325	0.416397	-0.34304
4.04055  	15.6892	0.421171	-0.336428
4.0406  	15.542	0.425821	-0.329753
4.04065  	15.3909	0.430363	-0.322999
4.0407  	15.2361	0.434823	-0.316141
4.04075  	15.0773	0.43914	-0.309241
4.0408  	14.9148	0.443382	-0.302231
4.04085  	14.7486	0.447497	-0.295165
4.0409  	14.5787	0.451497	-0.28803
4.04095  	14.4052	0.45541	-0.280799
4.041  	14.228	0.459176	-0.273535
4.04105  	14.0473	0.462861	-0.26617
4.0411  	13.8631	0.466414	-0.258757
4.04115  	13.6754	0.469848	-0.251285
4.0412  	13.4844	0.473191	-0.243726
4.04125  	13.2899	0.476381	-0.236142
4.0413  	13.0921	0.479486	-0.228468
4.04135  	12.891	0.482458	-0.220753
4.0414  	12.6867	0.485303	-0.21299
4.04145  	12.4793	0.488055	-0.205148
4.0415  	12.2687	0.490651	-0.197292
4.04155  	12.055	0.493157	-0.189355
4.0416  	11.8384	0.495527	-0.181387
4.04165  	11.6187	0.497767	-0.173381
4.0417  	11.3962	0.499911	-0.165306
4.04175  	11.1708	0.501896	-0.157224
4.0418  	10.9426	0.503788	-0.149075
4.04185  	10.7116	0.505542	-0.140901
4.0419  	10.478	0.507163	-0.132702
4.04195  	10.2418	0.508685	-0.124443
4.042  	10.0029	0.510048	-0.116187
4.04205  	9.76159	0.511313	-0.107875
4.0421  	9.51782	0.512441	-0.0995467
4.04215  	9.27163	0.513432	-0.0912042
4.0422  	9.02316	0.514324	-0.0828119
4.04225  	8.77238	0.515055	-0.0744329
4.0423  	8.51941	0.515687	-0.0660085
4.04235  	8.26431	0.516181	-0.0575776
4.0424  	8.00711	0.516537	-0.0491435
4.04245  	7.74793	0.516793	-0.0406697
4.0425  	7.48676	0.516888	-0.0322191
4.04255  	7.22372	0.516882	-0.0237346
4.0426  	6.95887	0.51674	-0.0152528
4.04265  	6.69223	0.516458	-0.00677918
4.0427  	6.42395	0.516076	0.00172387
4.04275  	6.15401	0.515535	0.010194
4.0428  	5.88253	0.514891	0.0186862
4.04285  	5.60957	0.514113	0.0271667
4.0429  	5.33515	0.513195	0.0356276
4.04295  	5.05943	0.512178	0.0441076
4.043  	4.78238	0.511004	0.0525448
4.04305  	4.50413	0.509726	0.0609926
4.0431  	4.22475	0.508317	0.0694194
4.04315  	3.94425	0.506769	0.0778153
4.0432  	3.66279	0.505124	0.0862201
4.04325  	3.38035	0.503323	0.0945724
4.0433  	3.09706	0.50142	0.102924
4.04335  	2.81298	0.499388	0.111245
4.0434  	2.52814	0.497219	0.119524
