Time	I_src_A	I_src_B	I_src_C
1.92755	-0.312125	-0.116342	0.428467
1.9276	-0.307146	-0.123044	0.43019
1.92765	-0.302091	-0.129715	0.431806
1.9277	-0.296962	-0.136355	0.433316
1.92775	-0.291759	-0.142961	0.434719
1.9278	-0.286484	-0.149531	0.436015
1.92785	-0.281139	-0.156065	0.437203
1.9279	-0.275724	-0.16256	0.438283
1.92795	-0.270241	-0.169015	0.439256
1.928	-0.264691	-0.175428	0.440119
1.92805	-0.259077	-0.181798	0.440875
1.9281	-0.253398	-0.188123	0.441521
1.92815	-0.247657	-0.194402	0.442059
1.9282	-0.241854	-0.200633	0.442487
1.92825	-0.235992	-0.206814	0.442806
1.9283	-0.230072	-0.212944	0.443016
1.92835	-0.224095	-0.219022	0.443117
1.9284	-0.218062	-0.225046	0.443108
1.92845	-0.211976	-0.231014	0.44299
1.9285	-0.205838	-0.236925	0.442763
1.92855	-0.199649	-0.242778	0.442426
1.9286	-0.19341	-0.248571	0.441981
1.92865	-0.187124	-0.254302	0.441426
1.9287	-0.180792	-0.259971	0.440762
1.92875	-0.174415	-0.265575	0.43999
1.9288	-0.167995	-0.271114	0.439109
1.92885	-0.161533	-0.276586	0.438119
1.9289	-0.155032	-0.28199	0.437022
1.92895	-0.148492	-0.287325	0.435817
1.929	-0.141916	-0.292588	0.434504
1.92905	-0.135305	-0.297779	0.433084
1.9291	-0.12866	-0.302897	0.431557
1.92915	-0.121984	-0.30794	0.429924
1.9292	-0.115277	-0.312907	0.428184
1.92925	-0.108542	-0.317797	0.426339
1.9293	-0.101781	-0.322608	0.424389
1.92935	-0.0949939	-0.32734	0.422334
1.9294	-0.0881837	-0.331991	0.420175
1.92945	-0.0813517	-0.336561	0.417912
1.9295	-0.0744996	-0.341047	0.415546
1.92955	-0.0676292	-0.345449	0.413078
1.9296	-0.060742	-0.349765	0.410507
1.92965	-0.0538399	-0.353996	0.407836
1.9297	-0.0469245	-0.358139	0.405063
1.92975	-0.0399975	-0.362194	0.402191
